2 clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of total class images in cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class/cluster,cluster 0,cluster 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster 1,0.006730769,0.068108974,0.067339744,0.034423077,0.048365385,0.040288462,0.005,0.036346154,0.025544872,0.043589744,0.036570513,0.038108974,0.054967949,0.053782051,0.024679487,0.018910256,0.010833333,0.027884615,0.031282051,0.004967949,0.005641026,0.009839744,0.010641026,0.014679487,0.007211538,0.040096154,0.012596154,0.007019231,0.01525641,0.008653846,0.010929487,0.012019231,0.005929487,0.020096154,0.0125,0.035576923,0.010384615,0.006474359,0.047596154,0.007820513,0.010705128,0.006730769,0.003878205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of total class images in cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class/cluster,cluster 0,cluster 1,cluster 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 0,0.004761905,0.995238095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 1,0.001351351,0.958558559,0.04009009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 2,0.000444444,0.940444444,0.059111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 3,0.007092199,0.778014184,0.214893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 4,0.003030303,0.767676768,0.229292929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 5,0,0.69516129,0.30483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 6,0,0.383333333,0.616666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 7,0.001388889,0.810416667,0.188194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 8,0,0.587234043,0.412765957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 9,0.001360544,0.929251701,0.069387755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 10,0.002487562,0.595024876,0.402487562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 11,0.934848485,0.011363636,0.053787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 12,0.005238095,0.830952381,0.163809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 13,0.00462963,0.780555556,0.214814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 14,0.002564103,0.985897436,0.011538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 15,0,0.944444444,0.055555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 16,0,0.80952381,0.19047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 17,0.003603604,0.8,0.196396396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 18,0.91,0.000833333,0.089166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 19,0.852380952,0,0.147619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 20,0.719444444,0,0.280555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 21,0.996969697,0,0.003030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 22,0.982051282,0,0.017948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 23,0.92745098,0.011764706,0.060784314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 24,0.962962963,0,0.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 25,0.908,0.015333333,0.076666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 26,0.883333333,0.005,0.111666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 27,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 28,0.957407407,0,0.042592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 29,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 30,0.895555556,0.002222222,0.102222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 31,0.733333333,0,0.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 32,0,0.779166667,0.220833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 33,0.008708273,0.90275762,0.088534107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 34,0.002380952,0.926190476,0.071428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 35,0.016666667,0.91,0.073333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 36,0.007692308,0.825641026,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 37,0.052380952,0.90952381,0.038095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 38,0.024637681,0.707246377,0.268115942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 39,0.09,0.73,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 40,0.019444444,0.911111111,0.069444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 41,0.004166667,0.8875,0.108333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 42,0.0125,0.520833333,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of cluster made up of <class>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster/class,class 0,class 1,class 2,class 3,class 4,class 5,class 6,class 7,class 8,class 9,class 10,class 11,class 12,class 13,class 14,class 15,class 16,class 17,class 18,class 19,class 20,class 21,class 22,class 23,class 24,class 25,class 26,class 27,class 28,class 29,class 30,class 31,class 32,class 33,class 34,class 35,class 36,class 37,class 38,class 39,class 40,class 41,class 42
cluster 0,0.000120627,0.000361882,0.000120627,0.001206273,0.000723764,0,0,0.000241255,0,0.000241255,0.000603136,0.148854041,0.0013269,0.001206273,0.000241255,0,0,0.000482509,0.13172497,0.02159228,0.031242461,0.039686369,0.046200241,0.057056695,0.031363088,0.164294331,0.063932449,0.028950543,0.062364294,0.032569361,0.048612786,0.068998794,0,0.000723764,0.000120627,0.002412545,0.000361882,0.0013269,0.00615199,0.003256936,0.000844391,0.000120627,0.000361882
cluster 1,0.008599054,0.087554001,0.087060276,0.045134746,0.062538572,0.05319893,0.006624151,0.048014812,0.034067064,0.056202427,0.049207982,0.000617157,0.071795927,0.069368443,0.03163958,0.02448056,0.013988891,0.036535692,4.11E-05,0,0,0,0,0.000246863,0,0.000946307,0.000123431,0,0,0,4.11E-05,0,0.00769389,0.025591442,0.016004937,0.044929027,0.013248303,0.007858465,0.06023452,0.009010492,0.013495166,0.008763629,0.005142975
cluster 2,0,0.013456305,0.02010886,0.045811914,0.068642274,0.085727245,0.039159359,0.040973692,0.087995162,0.015421832,0.122316299,0.010734805,0.052010886,0.070154218,0.00136075,0.005291805,0.012095555,0.032960387,0.016177805,0.004687028,0.015270638,0.000151194,0.001058361,0.004687028,0.001511944,0.01738736,0.010130027,0,0.003477472,0,0.006954944,0.031448443,0.008013305,0.009222861,0.004535833,0.01330511,0.009827638,0.001209555,0.083912912,0.0081645,0.003779861,0.003931055,0.016933777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 clusters,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of total class images in cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class/cluster,cluster 0,cluster 1,cluster 2,cluster 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 0,0,0.133333333,0.866666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 1,0,0.191441441,0.78018018,0.028378378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 2,0,0.185333333,0.764444444,0.050222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 3,0.007092199,0.15177305,0.642553191,0.19858156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 4,0.000505051,0.23989899,0.554040404,0.205555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 5,0,0.122580645,0.600537634,0.27688172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 6,0,0.45952381,0.054761905,0.485714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 7,0.001388889,0.138194444,0.690277778,0.170138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class 8,0,0.140425532,0.468794326,0.390780142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
