2 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,,,,,,,,,,,,,,,,,
circle,0.210524227,0.789475773,,,,,,,,,,,,,,,,,
triangle,0.20367893,0.79632107,,,,,,,,,,,,,,,,,
diamond,0.183333333,0.816666667,,,,,,,,,,,,,,,,,
inverted_triangle,0.223148148,0.776851852,,,,,,,,,,,,,,,,,
octagon,0.012820513,0.987179487,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.662379823,0.228118367,0.04807092,0.060182295,0.001248595,,,,,,,,,,,,,,
cluster 1,0.637628205,0.228942308,0.054967949,0.053782051,0.024679487,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.901951527,0.032735285,0.056342461,0.006452628,0.002518099,,,,,,,,,,,,,,
cluster 1,0.912716193,0,0.061116588,0,0.026167219,,,,,,,,,,,,,,
cluster 2,0.675132275,0.227513228,0.044797178,0.052557319,0,,,,,,,,,,,,,,
cluster 3,0.789377486,0.041393399,0.099881733,0.018600151,0.050747231,,,,,,,,,,,,,,
cluster 4,0.000552486,0.00441989,0.002209945,0.99281768,0,,,,,,,,,,,,,,
cluster 5,0.003354839,0.996645161,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,,,,,,,,,,,,
circle,0.227667765,3.97E-05,0.388824953,0.075122029,0.000158736,0.305964522,0.00222231,,,,,,,,,,,,
triangle,0.016276477,0.000891862,0,0.050278707,0.30613155,0.015719064,0.610702341,,,,,,,,,,,,
diamond,0.171428571,0.002380952,0.313333333,0.059047619,0,0.452857143,0.000952381,,,,,,,,,,,,
inverted_triangle,0.018518519,0.837962963,0,0.070833333,0,0.072222222,0.000462963,,,,,,,,,,,,
octagon,0.020512821,0,0.356410256,0,0,0.623076923,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.910779489,0.023178282,0.057151929,0.006350214,0.002540086,,,,,,,,,,,,,,
cluster 1,0.000548246,0.004385965,0.002741228,0.992324561,0,,,,,,,,,,,,,,
cluster 2,0.912800447,0,0.06130054,0,0.025899012,,,,,,,,,,,,,,
cluster 3,0.722243419,0.172071728,0.047310187,0.058374666,0,,,,,,,,,,,,,,
cluster 4,0.001454545,0.998545455,0,0,0,,,,,,,,,,,,,,
cluster 5,0.81639136,0.014930114,0.100698856,0.016518424,0.051461245,,,,,,,,,,,,,,
cluster 6,0.01011378,0.98934441,0.000361206,0.000180603,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,,,,,,,,,,,
circle,0.191237748,0.333703718,0.260288107,0.04861304,0.001587365,0.164371602,0.000119052,7.94E-05,,,,,,,,,,,
triangle,0.004347826,0,0.017725753,0.044370123,0.607692308,0.021516165,0.303455964,0.000891862,,,,,,,,,,,
diamond,0.088571429,0.287619048,0.424761905,0.029047619,0,0.167619048,0.00047619,0.001904762,,,,,,,,,,,
inverted_triangle,0.001388889,0,0.081944444,0.051388889,0,0.041666667,0,0.823611111,,,,,,,,,,,
octagon,0.028205128,0.423076923,0.533333333,0,0,0.015384615,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.950680608,0.007693825,0.036693628,0.000591833,0.004340107,,,,,,,,,,,,,,
cluster 1,0.90003211,0,0.06464733,0,0.035320561,,,,,,,,,,,,,,
cluster 2,0.799585517,0.019383153,0.108740705,0.021577472,0.050713154,,,,,,,,,,,,,,
cluster 3,0.682451253,0.221727019,0.033983287,0.06183844,0,,,,,,,,,,,,,,
cluster 4,0.007284648,0.992715352,0,0,0,,,,,,,,,,,,,,
cluster 5,0.864898726,0.040300689,0.073501775,0.018793067,0.002505742,,,,,,,,,,,,,,
cluster 6,0.001100514,0.998532649,0.000366838,0,0,,,,,,,,,,,,,,
cluster 7,0.001115449,0.004461796,0.002230898,0.992191857,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,,,,,,,,,,
circle,0.141672289,0.001904837,0.096710187,7.94E-05,0.166871701,0.247390769,3.97E-05,0.321441327,0.023889837,,,,,,,,,,
triangle,0.004236343,0.607023411,0.020178372,0.302341137,0.015830546,0.013266444,0.000891862,0,0.036231884,,,,,,,,,,
diamond,0.071428571,0.00047619,0.073333333,0,0.161904762,0.405714286,0.001904762,0.268095238,0.017142857,,,,,,,,,,
inverted_triangle,0.000925926,0.000462963,0.050925926,0,0.015740741,0.076851852,0.825925926,0,0.029166667,,,,,,,,,,
octagon,0.030769231,0,0.003846154,0,0.017948718,0.616666667,0,0.330769231,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.943446089,0.010042283,0.039640592,0.000528541,0.006342495,,,,,,,,,,,,,,
cluster 1,0.008735214,0.990900819,0.000181984,0.000181984,0,,,,,,,,,,,,,,
